"ITEM","QTY","PART NUMBER","MATERIAL"
"1","1","HARPON_1"X48",""
"1.1","1","8364T36_ROTARY SHAFT","PLYWOOD, FINISH"
"1.2","2","9338T4_MOUNTED LINEAR BALL BEARING","PLYWOOD, FINISH"
"1.3","4","6435K18_NO THREADS_CLAMPING SHAFT COLLAR","PLYWOOD, FINISH"
"1.4","1","9414T19_SET SCREW SHAFT COLLAR","PLYWOOD, FINISH"
"1.5","1","9657K551_COMPRESSION SPRING","PLYWOOD, FINISH"
"1.6","2","92141A038_18-8 STAINLESS STEEL WASHER","PLYWOOD, FINISH"
"1.7","1","8389K21_NO THREADS_EXTRA-WIDE CLAMPING TWO-PIECE SHAFT COLLAR","PLYWOOD, FINISH"
"1.8","5","90131A557_ABRASION-RESISTANT CUSHIONING WASHER","PLYWOOD, FINISH"
"1.9","1","SWITCH TRIGGER","PLYWOOD, FINISH"
"1.10","2","5388K22_WORM-DRIVE CLAMPS FOR FIRM HOSE AND TUBE","PLYWOOD, FINISH"
"1.11","1","HANDLE","PLYWOOD, FINISH"
"1.12","5","ROPE","PLYWOOD, FINISH"
"1.13","1","TIP","PLYWOOD, FINISH"
"1.14","1","DOCUMENT","STEEL"
"1.15","1","SWTICH HOLDER","PLYWOOD, FINISH"
"2","1","HARPON ENCLOSURE",""
"2.1","1","HARPON ENCLOSURE","PLYWOOD, FINISH"
"2.2","1","BOTTOM CAP","PLYWOOD, FINISH"
"2.3","1","TOP CAP",""
"2.3.1","1","C-2317656-3","STEEL"
"2.4","1","SCREW CAP","PLYWOOD, FINISH"
"2.5","1","FUSELAGE","PLYWOOD, FINISH"
"2.5.1","1","HARDWARE","PLYWOOD, FINISH"
"2.5.1.1","3","93560A180_NO THREADS_STEEL HEX WELD NUT","PLYWOOD, FINISH"
"2.5.1.2","10","91251A245_NO THREADS_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW","PLYWOOD, FINISH"
"2.5.1.3","10","92141A011_18-8 STAINLESS STEEL WASHER","PLYWOOD, FINISH"
"2.5.1.4","3","9712K77_BELLEVILLE DISC SPRING","PLYWOOD, FINISH"
